preco_imov;id_imov;cidade;endereco;titulo_imov;vaga;banheiro;condominio;iptu_mes;metros;valor_m2;bairro
R$ 565.000; 13G9O80;São Paulo;Rua Francisco José da Silva;Apartamento à venda em Vila Andrade com 69 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 593; R$ 60,33 ;69;R$ 8.188;   Vila Andrade         
R$ 1.100.000; OTR9UB;São Paulo;Rua Heitor Penteado;Apartamento à venda em Vila Madalena com 72 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 1.100; R$ 217,50 ;72;R$ 15.278;   Vila Madalena         
R$ 750.000; 138825W;São Paulo;Rua Nova York;Apartamento à venda em Brooklin com 41 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 796; R$ 5,83 ;41;R$ 18.293;   Brooklin         
R$ 550.000; 1OM6Z39;São Paulo;Rua Alegria;Apartamento à venda em Brás com 59 m², 2 quartos, 1 vaga;1;1;R$ 500; R$ 7,50 ;59;R$ 9.322;   Brás         
R$ 380.000; 157ZA3V;São Paulo;Rua Coronel Francisco de Oliveira Simões;Apartamento à venda em Vila Andrade com 67 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 773; R$ 141,67 ;67;R$ 5.672;   Vila Andrade         
R$ 669.000; M7JHVX;São Paulo;Rua Quatá;Apartamento à venda em Vila Olímpia com 51 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 900; R$ 180,00 ;51;R$ 13.118;   Vila Olímpia         
R$ 995.000; 1FK0R4E;São Paulo;Rua Tagipuru;Apartamento à venda em Perdizes com 87 m², 3 quartos, 1 suíte, 2 vagas;2;3;R$ 1.030; R$ 30,67 ;87;R$ 11.437;   Perdizes       
R$ 890.000; 6OD1M6;São Paulo;Rua Ivaí;Apartamento à venda em Tatuapé com 92 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 780; R$ 270,00 ;92;R$ 9.674;   Tatuapé         
R$ 1.820.000; COOF0;São Paulo;Rua Juquis;Apartamento à venda em Moema Pássaros com 164 m², 4 quartos, 1 suíte, 2 vagas;2;3;R$ 1.600; R$ 416,67 ;164;R$ 11.098;   Moema Pássaros         
R$ 1.600.000; YD5QLQ;São Paulo;Rua Tagipuru;Apartamento à venda em Perdizes com 126 m², 4 quartos, 1 suíte, 2 vagas;2;4;R$ 900; R$ 37,50 ;126;R$ 12.698;   Perdizes       
R$ 585.000; 6DJIO4;São Paulo;Avenida Brigadeiro Luís Antônio;Apartamento à venda em Jardim Paulista com 43 m², 1 quarto, 1 vaga;1;1;R$ 1.863; R$ 215,00 ;43;R$ 13.605;   Jardim Paulista       
R$ 585.120; 1HPO95Q;São Paulo;Rua James Adam;Apartamento à venda em Bosque da Saúde com 75 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.000; R$ 291,00 ;75;R$ 7.802;   Bosque da Saúde         
R$ 825.000; 3LP676;São Paulo;Rua Guairá;Apartamento à venda em Bosque da Saúde com 77 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 950; R$ 264,00 ;77;R$ 10.714;   Bosque da Saúde         
R$ 1.600.000; 1JNU5FU;São Paulo;Rua Jesuíno Arruda;Apartamento à venda em Itaim Bibi com 113 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.415; R$ 141,67 ;113;R$ 14.159;   Itaim Bibi       
R$ 1.750.000; TV5RA4;São Paulo;Rua França Pinto;Apartamento à venda em Vila Mariana com 80 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 900; R$ 250,00 ;80;R$ 21.875;   Vila Mariana       
R$ 2.100.000; 1H82X1X;São Paulo;Rua Brasília;Apartamento à venda em Itaim Bibi com 118 m², 3 quartos, 2 suítes, 2 vagas;2;3;R$ 2.143; R$ 617,50 ;118;R$ 17.797;   Itaim Bibi       
R$ 750.000; 1S1YOS9;São Paulo;Rua Paula Ney;Apartamento à venda em Aclimação com 42 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 630; R$ 166,00 ;42;R$ 17.857;   Aclimação         
R$ 1.790.000; RVSKQ9;São Paulo;Rua Domingos Fernandes;Apartamento à venda em Vila Nova Conceição com 128 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.400; R$ 408,33 ;128;R$ 13.984;   Vila Nova Conceição         
R$ 1.990.000; CYK4XJ;São Paulo;Rua Doutor Bacelar;Apartamento à venda em Vila Clementino com 98 m², 2 quartos, 2 suítes, 2 vagas;2;4;R$ 800; R$ 16,67 ;98;R$ 20.306;   Vila Clementino       
R$ 1.484.000; Y6QQDS;São Paulo;Rua Rodesia;Apartamento à venda em Vila Madalena com 105 m², 4 quartos, 1 suíte, 2 vagas;2;2;R$ 1; R$ 708,33 ;105;R$ 14.133;   Vila Madalena         
R$ 1.550.000; HCOEUW;São Paulo;Rua José Maria Lisboa;Apartamento à venda em Jardim Paulista com 94 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 1.128; R$ 26,00 ;94;R$ 16.489;   Jardim Paulista       
R$ 1.690.000; ROHCIE;São Paulo;Rua Padre Machado;Apartamento à venda em Bosque da Saúde com 124 m², 2 quartos, 1 suíte, 3 vagas;3;3;R$ 1.180; R$ 555,00 ;124;R$ 13.629;   Bosque da Saúde         
R$ 561.800; 1C8AFRH;São Paulo;Avenida Conceição;Apartamento à venda em Tucuruvi com 63 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 600; R$ 0,08 ;63;R$ 8.917;   Tucuruvi         
R$ 750.000; 1RVQYS4;São Paulo;Rua Almirante Marques Leão;Apartamento à venda em Bela Vista com 70 m², 3 quartos, 1 vaga;1;2;R$ 720; R$ 23,50 ;70;R$ 10.714;   Bela Vista         
R$ 391.000; 15TELZN;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 54 m², 2 quartos;0;1;R$ 412; R$ 49,92 ;54;R$ 7.241;   Vila Formosa       
R$ 350.098; HJSKJX;São Paulo;Rua Tupi;Apartamento à venda em Santa Cecília com 30 m², 1 quarto;0;1;R$ 490; R$ -   ;30;R$ 11.670;   Santa Cecília       
R$ 1.260.000; 27XP4Q;São Paulo;Rua Antônio de Macedo Soares;Apartamento à venda em Campo Belo com 131 m², 3 quartos, 1 suíte, 2 vagas;2;5;R$ 1.200; R$ 20,00 ;131;R$ 9.618;   Campo Belo         
R$ 550.000; VJ12H9;São Paulo;Rua Cunha Gago;Apartamento à venda em Pinheiros com 31 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 768; R$ 3,92 ;31;R$ 17.742;   Pinheiros       
R$ 900.000; 1GBTE3X;São Paulo;Rua Rubens Meireles;Apartamento à venda em Barra Funda com 82 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 670; R$ 15,83 ;82;R$ 10.976;   Barra Funda         
R$ 650.000; 17DZ35Z;São Paulo;Rua Pascal;Apartamento à venda em Campo Belo com 37 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 553; R$ 50,42 ;37;R$ 17.568;   Campo Belo         
R$ 510.000; 819YYJ;São Paulo;Rua Correia de Lemos;Apartamento à venda em Bosque da Saúde com 67 m², 3 quartos, 1 vaga;1;2;R$ 602; R$ 70,00 ;67;R$ 7.612;   Bosque da Saúde         
R$ 595.000; RE0BEQ;São Paulo;Rua Ouvidor Peleja;Apartamento à venda em Bosque da Saúde com 67 m², 2 quartos, 1 vaga;1;2;R$ 1.160; R$ 140,58 ;67;R$ 8.881;   Bosque da Saúde         
R$ 317.000; 1GR8AI0;São Paulo;Rua Rui Barbosa;Apartamento à venda em Bela Vista com 33 m², 1 quarto, 1 vaga;1;1;R$ 514; R$ 8,17 ;33;R$ 9.606;   Bela Vista         
R$ 600.000; GFUSJA;São Paulo;Rua Alabastro;Apartamento à venda em Aclimação com 64 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 880; R$ 125,00 ;64;R$ 9.375;   Aclimação         
R$ 649.000; 1DMV5V;São Paulo;Rua Cipriano Barata;Apartamento à venda em Ipiranga com 63 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 855; R$ 113,25 ;63;R$ 10.302;   Ipiranga         
R$ 320.000; 1IEVNN2;São Paulo;Rua Jaguaribe;Apartamento à venda em Higienópolis com 31 m², 2 quartos;0;1;R$ 376; R$ 100,00 ;31;R$ 10.323;   Higienópolis       
R$ 405.000; 1QKCG64;São Paulo;Rua Botucatu;Apartamento à venda em Vila Mariana com 40 m², 1 quarto, 1 vaga;1;1;R$ 414; R$ 66,00 ;40;R$ 10.125;   Vila Mariana       
R$ 650.000; 14KT3WY;São Paulo;Rua das Rosas;Apartamento à venda em Bosque da Saúde com 63 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 850; R$ 83,33 ;63;R$ 10.317;   Bosque da Saúde         
R$ 590.000; 6MT2N;São Paulo;Rua Doutor Nicolau de Sousa Queirós;Apartamento à venda em Aclimação com 72 m², 2 quartos, 1 vaga;1;2;R$ 920; R$ -   ;72;R$ 8.194;   Aclimação         
R$ 1.530.000; 47023L;São Paulo;Rua José Maria Lisboa;Apartamento à venda em Jardim América com 137 m², 3 quartos, 1 vaga;1;2;R$ 1.389; R$ 429,00 ;137;R$ 11.168;   Jardim América         
R$ 1.430.000; 15E6GVE;São Paulo;Avenida Raimundo Pereira de Magalhães;Apartamento à venda em Lapa com 134 m², 3 quartos, 2 suítes, 2 vagas;2;5;R$ 1.180; R$ 38,33 ;134;R$ 10.672;   Lapa         
R$ 1.450.000; 67I2J4;São Paulo;Rua Estado de Israel;Apartamento à venda em Vila Clementino com 117 m², 4 quartos, 3 suítes, 3 vagas;3;6;R$ 1.500; R$ 50,00 ;117;R$ 12.393;   Vila Clementino       
R$ 372.500; G3ZA9C;São Paulo;Avenida Vereador José Diniz;Apartamento à venda em Santo Amaro com 25 m², 1 quarto, 1 suíte;0;1;R$ 250; R$ -   ;25;R$ 14.900;   Santo Amaro         
R$ 920.000; XAHFSP;São Paulo;Rua Caraíbas;Apartamento à venda em Perdizes com 113 m², 3 quartos, 1 suíte, 1 vaga;1;4;R$ 910; R$ 14,17 ;113;R$ 8.142;   Perdizes       
R$ 1.300.000; 81M4AV;São Paulo;Rua Marcos Lopes;Apartamento à venda em Moema Pássaros com 68 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 1.500; R$ 500,00 ;68;R$ 19.118;   Moema Pássaros         
R$ 290.000; FEHT0Z;São Paulo;Rua Professor Arnaldo João Semeraro;Apartamento à venda em Sacomã com 54 m², 2 quartos, 1 vaga;1;1;R$ 420; R$ 100,00 ;54;R$ 5.370;Sacomã
R$ 1.120.000; 1G5A85Y;São Paulo;Rua Oswaldo Arouca;Apartamento à venda em Carrão com 105 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 850; R$ 27,00 ;105;R$ 10.667;   Carrão       
R$ 750.000; OEADOD;São Paulo;Avenida Doutora Ruth Cardoso;Apartamento à venda em Pinheiros com 69 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 1.260; R$ 50,00 ;69;R$ 10.870;   Pinheiros       
R$ 620.000; EN1YQY;São Paulo;Rua Piratininga;Apartamento à venda em Brás com 68 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 540; R$ 145,00 ;68;R$ 9.118;   Brás         
R$ 1.050.000; 8ET6P2;São Paulo;Rua Luiz Tavares;Apartamento à venda em Vila Guilherme com 125 m², 3 quartos, 1 suíte, 2 vagas;2;4;R$ 990; R$ 34,00 ;125;R$ 8.400;   Vila Guilherme       
R$ 790.000; 542MVF;São Paulo;Rua Maratona;Apartamento à venda em Campo Belo com 64 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 640; R$ 8,33 ;64;R$ 12.344;   Campo Belo         
R$ 690.000; 1FK2M2R;São Paulo;Rua Urbanizadora;Apartamento à venda em Perdizes com 56 m², 2 quartos, 1 vaga;1;2;R$ 1.086; R$ 333,00 ;56;R$ 12.321;   Perdizes       
R$ 360.000; URCKOG;São Paulo;Rua das Cobeias;Apartamento à venda em Vila Prudente com 52 m², 2 quartos, 2 vagas;2;1;R$ 380; R$ -   ;52;R$ 6.923;   Vila Prudente       
R$ 479.000; AKD5MD;São Paulo;Rua Salvador Pires de Lima;Apartamento à venda em Sacomã com 61 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 590; R$ 20,83 ;61;R$ 7.852;Sacomã
R$ 1.120.000; 1RISNYM;São Paulo;Rua Arizona;Apartamento à venda em Brooklin com 74 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 846; R$ 360,00 ;74;R$ 15.135;   Brooklin         
R$ 690.000; 11EDUUZ;São Paulo;Rua dos Americanos;Apartamento à venda em Bom Retiro com 65 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 700; R$ 158,33 ;65;R$ 10.615;   Bom Retiro       
R$ 490.000; BTXED1;São Paulo;Praça Benedito Calixto;Apartamento à venda em Pinheiros com 40 m², 1 quarto, 1 vaga;1;1;R$ 668; R$ -   ;40;R$ 12.250;   Pinheiros       
R$ 620.000; XZR56Y;São Paulo;Rua Sansão Alves dos Santos;Apartamento à venda em Brooklin com 43 m², 2 quartos, 1 vaga;1;1;R$ 900; R$ -   ;43;R$ 14.419;   Brooklin         
R$ 750.000; MFMP8U;São Paulo;Rua Quatá;Apartamento à venda em Vila Olímpia com 55 m², 2 quartos, 1 vaga;1;2;R$ 950; R$ 125,00 ;55;R$ 13.636;   Vila Olímpia         
R$ 750.000; 184GG4J;São Paulo;Rua Barão de Jaceguai;Apartamento à venda em Campo Belo com 65 m², 3 quartos, 2 suítes, 2 vagas;2;5;R$ 1.087; R$ 1.800,00 ;65;R$ 11.538;   Campo Belo         
R$ 430.000; 212SCM;São Paulo;Rua do Canal;Apartamento à venda em Tucuruvi com 65 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 416; R$ 65,00 ;65;R$ 6.615;   Tucuruvi         
R$ 450.000; KKDV5O;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 65 m², 2 quartos, 1 vaga;1;1;R$ 415; R$ 35,42 ;65;R$ 6.923;   Vila Formosa       
R$ 405.000; 4MU64D;São Paulo;Rua Conde Amadeu Barbelini;Apartamento à venda em São Lucas com 75 m², 3 quartos, 1 vaga;1;1;R$ 600; R$ 800,00 ;75;R$ 5.400;   São Lucas         
R$ 405.000; 1PONB52;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 55 m², 2 quartos, 1 vaga;1;1;R$ 413; R$ 52,67 ;55;R$ 7.364;   Vila Formosa       
R$ 600.000; TPQ7D4;São Paulo;Alameda Santos;Apartamento à venda em Jardim América com 44 m², 1 quarto, 1 vaga;1;1;R$ 1.000; R$ 500,00 ;44;R$ 13.636;   Jardim América         
R$ 470.000; 1IHTHQC;São Paulo;Avenida Cipriano Rodrigues;Apartamento à venda em Vila Formosa com 62 m², 2 quartos, 1 vaga;1;1;R$ 415; R$ 5,17 ;62;R$ 7.581;   Vila Formosa       
R$ 400.000; 147X1S2;São Paulo;Rua Josef Kryss;Apartamento à venda em Barra Funda com 46 m², 2 quartos;0;1;R$ 380; R$ -   ;46;R$ 8.696;   Barra Funda         
R$ 675.000; 1QE1ZVR;São Paulo;Avenida Ernesto Igel;Apartamento à venda em Vila Leopoldina com 70 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 700; R$ 46,00 ;70;R$ 9.643;   Vila Leopoldina       
R$ 480.000; 6QC1OD;São Paulo;Rua Ingaí;Apartamento à venda em Vila Prudente com 50 m², 2 quartos, 1 vaga;1;1;R$ 550; R$ -   ;50;R$ 9.600;   Vila Prudente       
R$ 775.000; WNQNQY;São Paulo;Rua Anhangüera;Apartamento à venda em Bom Retiro com 66 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 540; R$ 2,83 ;66;R$ 11.742;   Bom Retiro       
R$ 290.000; 1M9XR11;São Paulo;Rua Professor José Horácio Meirelles Teixeira;Apartamento à venda em Vila Sônia com 30 m², 1 quarto, 1 vaga;1;1;R$ 750; R$ 80,00 ;30;R$ 9.667;   Vila Sônia       
R$ 990.000; 10ACN6C;São Paulo;Rua José Maria Lisboa;Apartamento à venda em Jardim Paulista com 88 m², 2 quartos, 1 suíte, 1 vaga;1;1;R$ 1.400; R$ 242,50 ;88;R$ 11.250;   Jardim Paulista       
R$ 1.070.000; 1OYIZH6;São Paulo;Rua Nhu-Guaçu;Apartamento à venda em Campo Belo com 60 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 850; R$ 247,75 ;60;R$ 17.833;   Campo Belo         
R$ 1.050.000; 1T8TDGE;São Paulo;Rua Tucuna;Apartamento à venda em Perdizes com 67 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 900; R$ 13,33 ;67;R$ 15.672;   Perdizes       
R$ 638.500; 1DMRTS9;São Paulo;Rua André Saraiva;Apartamento à venda em Vila Sônia com 76 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 900; R$ 180,00 ;76;R$ 8.401;   Vila Sônia       
R$ 820.000; 1S23N3D;São Paulo;Rua Euclides de Andrade;Apartamento à venda em Vila Romana com 84 m², 2 quartos;2;2;R$ 890; R$ -   ;84;R$ 9.762;   Vila Romana         
R$ 480.000; 3513TF;São Paulo;Avenida Diógenes Ribeiro de Lima;Apartamento à venda em Alto da Lapa com 65 m², 2 quartos, 1 suíte, 1 vaga;1;3;R$ 908; R$ 11,33 ;65;R$ 7.385;   Alto da Lapa       
R$ 485.000; 6I2NCY;São Paulo;Rua Capistrano de Abreu;Apartamento à venda em Santa Cecília com 49 m², 2 quartos, 1 vaga;1;1;R$ 570; R$ -   ;49;R$ 9.898;   Santa Cecília       
R$ 600.000; 1YAAJYE;São Paulo;Rua Jesuíno Arruda;Apartamento à venda em Itaim Bibi com 40 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 980; R$ -   ;40;R$ 15.000;   Itaim Bibi       
R$ 680.000; UKDCD2;São Paulo;Rua Casa do Ator;Apartamento à venda em Vila Olímpia com 57 m², 2 quartos, 1 vaga;1;1;R$ 1.132; R$ 216,00 ;57;R$ 11.930;   Vila Olímpia         
R$ 1.300.000; 192OJF7;São Paulo;Rua Francisco Marcondes Vieira;Apartamento à venda em Vila Sônia com 145 m², 3 quartos, 3 suítes, 3 vagas;3;6;R$ 1.120; R$ 40,00 ;145;R$ 8.966;   Vila Sônia       
R$ 617.000; JY332J;São Paulo;Rua Doutor Augusto de Miranda;Apartamento à venda em Vila Romana com 54 m², 2 quartos, 1 vaga;1;2;R$ 810; R$ 5,92 ;54;R$ 11.426;   Vila Romana         
R$ 650.000; 10ADX43;São Paulo;Rua Bartira;Apartamento à venda em Perdizes com 64 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 232; R$ 232,00 ;64;R$ 10.156;   Perdizes       
R$ 372.000; DS2XSM;São Paulo;Avenida José Maria Fernandes;Apartamento à venda em Parque Novo Mundo com 63 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 486; R$ 8,00 ;63;R$ 5.905;   Parque Novo Mundo         
R$ 1.250.000; FXYBME;São Paulo;Alameda Sarutaiá;Apartamento à venda em Jardim Paulista com 114 m², 3 quartos, 1 suíte, 1 vaga;1;3;R$ 1.600; R$ 23,33 ;114;R$ 10.965;   Jardim Paulista       
R$ 800.000; 10NZJS4;São Paulo;Avenida Eusébio Matoso;Apartamento à venda em Pinheiros com 45 m², 1 quarto, 1 vaga;1;1;R$ 800; R$ 166,00 ;45;R$ 17.778;   Pinheiros       
R$ 287.635; 1SAYQLV;São Paulo;Rua Aída Gomes Toledo;Apartamento à venda em Cachoeirinha com 54 m², 2 quartos, 1 vaga;1;1;R$ 450; R$ -   ;54;R$ 5.327;   Cachoeirinha       
R$ 780.000; 1KI83QD;São Paulo;Avenida Raimundo Pereira de Magalhães;Apartamento à venda em Lapa com 69 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 800; R$ 108,33 ;69;R$ 11.304;   Lapa         
R$ 830.000; 19V2SPQ;São Paulo;Avenida Portugal;Apartamento à venda em Brooklin com 54 m², 1 quarto, 1 suíte, 2 vagas;2;2;R$ 950; R$ 150,00 ;54;R$ 15.370;   Brooklin         
R$ 550.000; 1B5EFVW;São Paulo;Rua Alabastro;Apartamento à venda em Aclimação com 58 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.050; R$ 165,00 ;58;R$ 9.483;   Aclimação         
R$ 650.000; 1S8918X;São Paulo;Rua Marcílio Dias;Apartamento à venda em Socorro com 80 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 470; R$ 73,33 ;80;R$ 8.125;   Socorro         
R$ 960.000; 1KGXQRL;São Paulo;Rua Norma Pieruccini Giannotti;Apartamento à venda em Bom Retiro com 88 m², 2 quartos, 2 suítes, 2 vagas;2;5;R$ 1.000; R$ 33,33 ;88;R$ 10.909;   Bom Retiro       
R$ 650.000; 1TZMVT6;São Paulo;Rua Santa Justina;Apartamento à venda em Vila Olímpia com 47 m², 1 quarto, 1 suíte, 1 vaga;1;2;R$ 900; R$ 169,00 ;47;R$ 13.830;   Vila Olímpia         
R$ 425.000; 15UWJS7;São Paulo;Rua Chapada de Minas;Apartamento à venda em Campo Limpo com 69 m², 2 quartos, 1 suíte, 2 vagas;2;2;R$ 560; R$ 25,00 ;69;R$ 6.159;   Campo Limpo       
R$ 1.050.000; 3JR0IS;São Paulo;Rua Marcos Portugal;Apartamento à venda em Ipiranga com 94 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 870; R$ 253,67 ;94;R$ 11.170;   Ipiranga         
R$ 600.000; XXRFI4;São Paulo;Rua Doutor Nogueira Martins;Apartamento à venda em Saúde com 56 m², 2 quartos, 1 suíte, 2 vagas;2;3;R$ 800; R$ 66,67 ;56;R$ 10.714;   Saúde         
R$ 355.100; 1CCC4XQ;São Paulo;Rua Delegado Moraes Novaes;Apartamento à venda em Vila Andrade com 49 m², 2 quartos, 1 vaga;1;2;R$ 835; R$ -   ;49;R$ 7.247;   Vila Andrade         
R$ 1.600.000; 1SM0I66;São Paulo;Rua da Consolação;Apartamento à venda em Jardim América com 135 m², 3 quartos, 2 vagas;2;3;R$ 1.064; R$ 31,17 ;135;R$ 11.852;   Jardim América         
R$ 725.000; 1EK3STW;São Paulo;Rua Paula Ney;Apartamento à venda em Aclimação com 40 m², 1 quarto, 1 vaga;1;1;R$ 850; R$ 14,83 ;40;R$ 18.125;   Aclimação         
R$ 1.250.000; V2471V;São Paulo;Rua Pedroso Alvarenga;Apartamento à venda em Itaim Bibi com 89 m², 2 quartos, 1 suíte, 1 vaga;1;4;R$ 1.100; R$ 13,42 ;89;R$ 14.045;   Itaim Bibi       
R$ 1.500.000; 84YUX1;São Paulo;Rua Dona Elisa;Apartamento à venda em Perdizes com 101 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 883; R$ 375,00 ;101;R$ 14.851;   Perdizes       
R$ 1.969.904; 42FLXA;São Paulo;Alameda Joaquim Eugênio de Lima;Apartamento à venda em Jardim Paulista com 170 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.520; R$ 541,67 ;170;R$ 11.588;   Jardim Paulista       
R$ 1.500.000; 48EYJZ;São Paulo;Rua Senador César Lacerda Vergueiro;Apartamento à venda em Vila Madalena com 70 m², 2 quartos, 1 suíte, 1 vaga;1;2;R$ 750; R$ 9,25 ;70;R$ 21.429;   Vila Madalena         
R$ 1.298.000; 1C8K4OO;São Paulo;Rua José Gonçalves;Apartamento à venda em Vila Andrade com 122 m², 3 quartos, 3 suítes, 2 vagas;2;5;R$ 1.000; R$ 290,00 ;122;R$ 10.639;   Vila Andrade         
R$ 860.000; CGJ6AR;São Paulo;Rua Capote Valente;Apartamento à venda em Pinheiros com 32 m², 1 quarto, 1 suíte;0;1;R$ 380; R$ 93,00 ;32;R$ 26.875;   Pinheiros       
R$ 1.168.400; 1BRR4Q0;São Paulo;Praça Monsenhor José Maria Monteiro;Apartamento à venda em Vila Romana com 127 m², 3 quartos, 2 suítes, 2 vagas;2;2;R$ 1.800; R$ 291,67 ;127;R$ 9.200;   Vila Romana         
R$ 3.510.999; 2TNY3W;São Paulo;Rua Baltazar da Veiga;Apartamento à venda em Vila Nova Conceição com 170 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 2.415; R$ 785,00 ;170;R$ 20.653;   Vila Nova Conceição         
R$ 530.000; CW3M;São Paulo;Rua Estado de Israel;Apartamento à venda em Vila Clementino com 38 m², 1 quarto, 1 vaga;1;1;R$ 647; R$ 136,00 ;38;R$ 13.947;   Vila Clementino       
R$ 566.000; OL7YQT;São Paulo;Rua José Maria Lisboa;Apartamento à venda em Jardim Paulista com 34 m², 1 quarto, 1 vaga;1;1;R$ 606; R$ 137,00 ;34;R$ 16.647;   Jardim Paulista       
R$ 1.600.000; 1JO7Y03;São Paulo;Rua Girassol;Apartamento à venda em Vila Madalena com 71 m², 1 quarto, 1 suíte, 1 vaga;1;1;R$ 1.000; R$ 116,00 ;71;R$ 22.535;   Vila Madalena         
R$ 650.000; LW4MD6;São Paulo;Rua Marquês de Itu;Apartamento à venda em República com 91 m², 3 quartos, 1 suíte, 1 vaga;1;2;R$ 1.338; R$ -   ;91;R$ 7.143;   República         
R$ 1.915.000; VX0ARN;São Paulo;Rua Getúlio Soares da Rocha;Apartamento à venda em Brooklin com 103 m², 2 quartos, 2 suítes, 2 vagas;2;3;R$ 800; R$ 116,67 ;103;R$ 18.592;   Brooklin         
R$ 1.050.000; 1VVN2EO;São Paulo;Rua Vitório Ramalho;Apartamento à venda em Tatuapé com 91 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 800; R$ 380,00 ;91;R$ 11.538;   Tatuapé         
R$ 3.600.000; 13SLPOP;São Paulo;Rua Doutor Melo Alves;Apartamento à venda em Jardim América com 210 m², 3 quartos, 1 suíte, 2 vagas;2;5;R$ 2.550; R$ 50,00 ;210;R$ 17.143;   Jardim América         
R$ 2.970.000; SFM58D;São Paulo;Alameda Casa Branca;Apartamento à venda em Jardim América com 172 m², 2 quartos, 2 suítes, 2 vagas;2;2;R$ 2.000; R$ 1.000,00 ;172;R$ 17.267;   Jardim América         
R$ 1.060.000; 6GLQZ;São Paulo;Rua Teodureto Souto;Apartamento à venda em Cambuci com 100 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.400; R$ 450,00 ;100;R$ 10.600;   Cambuci       
R$ 2.777.000; 12VAOR9;São Paulo;Rua Lisboa;Apartamento à venda em Pinheiros com 151 m², 2 quartos, 1 suíte, 2 vagas;2;4;R$ 1.770; R$ 47,00 ;151;R$ 18.391;   Pinheiros       
R$ 3.830.000; WT3YHU;São Paulo;Alameda Jaú;Apartamento à venda em Jardim América com 160 m², 3 quartos, 3 suítes, 3 vagas;3;5;R$ 2.200; R$ 108,33 ;160;R$ 23.938;   Jardim América         
R$ 3.300.000; 1GJ6SBT;São Paulo;Avenida Macuco;Apartamento à venda em Moema Pássaros com 181 m², 3 quartos, 1 suíte, 2 vagas;2;2;R$ 1.870; R$ 67,00 ;181;R$ 18.232;   Moema Pássaros         
R$ 2.350.000; 83RYA6;São Paulo;Rua Pascal;Apartamento à venda em Campo Belo com 220 m², 4 quartos, 3 suítes, 3 vagas;3;7;R$ 2.995; R$ 56,00 ;220;R$ 10.682;   Campo Belo         
R$ 700.000; 1SITVJR;São Paulo;Rua Curuena;Apartamento à venda em Vila Formosa com 65 m², 3 quartos, 1 vaga;1;1;R$ 480; R$ 630,00 ;65;R$ 10.769;   Vila Formosa       
